incident_id;datum_tijd;datum;tijd;jaar;maand;maand_name;seizoen_meteorologisch;minuut_van_dag;uur;minuut_van_uur;inrichting;inrichting_schoon;stof;hoeveelheid_stof;toelichting;opkomst;ondergang;opkomst_minutes;ondergang_minutes;daglicht_uren;is_licht;is_donker;uren_van_zonsopkomst;uren_van_zonsondergang;uren_van_zonsopkomst_rond;uren_van_zonsondergang_rond;onderhoud_kandidaat_kern;onderhoud_kandidaat_extra
651;2024-12-24T11:54:00Z;2024-12-24;12:54:00;2024;12;Dec;Winter;774;12;54;Tata Steel IJmuiden B.V. (Alg) Algemeen;Algemeen;Rook;1 m3;Voormelding brand: Er is een brand bij Opstelplaats 272. De brandweer is aan het rijden. Zo meteen wordt de Melkmelding verstuurd uitgevoerd, oorzaak bekend (t.k.a.) met meer informatie en melknr. Doorgebeld 24-12 12:59 door van de Dienst Bedrijfs Beveiliging. Melkmelding: Melknr. 325853 - BRAND Melding afgesloten 07-01-2025 12:14 Waarneming Brand in mobiele afzuiginstallatie in de D-hal van de centrale werkplaats 4J-10 Oorzaak Nog niet bekend Update 07-01-2025 : Filter van de afzuiger zat verstopt. Afzuiger was niet opgenomen in een onderhoudsprogramma waardoor het filter kon verstoppen. Afzuiger is wel geschikt voor het soort werkzaamheden Maatregel Brandweer gealarmeerd. Update 07-01-2025 : Nieuwe afzuiger moet opgenomen worden in het onderhoudsprogramma. Telefonisch contact: Telefonist gaat het opnemen met de geconsigneerde van de omgevingsdienst. Doorgebeld 24-12-24 13:18 door;08:47:00;16:32:00;527;992;7,75000000000000;TRUE;FALSE;4,1166666666666663;-3,6333333333333333;4;-4;TRUE;FALSE
652;2024-12-23T13:20:00Z;2024-12-23;14:20:00;2024;12;Dec;Winter;860;14;20;Tata Steel IJmuiden B.V. (GSL) Grondstoffenlogistiek;Grondstoffenlogistiek;Erts/kolenstof;0 kg;Melknr. 325841 MILIEU INSTALLATIE UIT BEDRIJF (STOBES/ MILIEUSPROEIERS) Melding afgesloten 09-01-2025 22:32 Waarneming Vacuüm uitgevoerd, oorzaak bekend (t.k.a.) pomp Loskraan 122 uit bedrijf Oorzaak Door een mechanische storing is de pomp uit bedrijf. Maatregel Grijper laten afzakken en pomp vervangen voor nieuw. Update 24-12 s Pomp vervangen voor nieuw;08:47:00;16:32:00;527;992;7,75000000000000;TRUE;FALSE;5,5499999999999998;-2,2000000000000002;6;-2;TRUE;TRUE
653;2024-12-23T16:00:00Z;2024-12-23;17:00:00;2024;12;Dec;Winter;1020;17;0;Tata Steel IJmuiden B.V. (TSP) Packaging;Packaging;Rook;0 m3;"Melknummer :325845 ROOKEMISSIE Melding afgesloten 23-12-2024 20:50 Waarneming Tijdens slijpwerkzaamheden begonnen enkele uitgevoerd, oorzaak bekend (t.k.a.) vonken op de ondergrond te smeulen, aanwezige veiligheidsman (die er moet zijn vanwege een ""HOT WORK procedure"" merkte dit direct op en kon met de reeds aanwezige brandblusser dit meteen weer doven. Oorzaak Slijpwerkzaamheden tijden een storing aan de wals van continugloeilijn-12 waardoor er vonken vrij zijn gekomen Maatregel Zoals bovenstaande is dit een bekende procedure binnen Tata-Steel waarbij deze risico's ingeschat worden en waar van te voren beheersmaatregelen voor getroffen worden. Getuige ook het snelle en efficiënte handelen van de aanwezige veiligheidsman.";08:47:00;16:32:00;527;992;7,75000000000000;FALSE;TRUE;8,2166666666666668;0,4666666666666667;8;0;TRUE;FALSE
654;2024-12-23T10:46:00Z;2024-12-23;11:46:00;2024;12;Dec;Winter;706;11;46;Tata Steel IJmuiden B.V. (Pefa) Pelletfabriek;Pelletfabriek;Rookgas;0 m3;"Melknr. 325839 MILIEU INSTALLATIE UIT BEDRIJF Melding afgesloten 31-12-2024 09:40 Waarneming Fluorwasser 1413 SO2 meting uit uitgevoerd, oorzaak bekend (t.k.a.) bedrijf. geen verhoogd uitstoot doordat er wel nog waswater op de fluorwasser staat. Betreft 1 van de 3 metingen Oorzaak Door hoog- hoog melding waswatervat valt de ventilator uit Maatregel Water tijdelijk iets verlaagd om niveau te verlagen. [aanvulling RB 31-12-2024]: melding betrof uitval van een de ventilator door een hoog-hoog melding in de fluorwasser. Er is dan uitval om water in het rookgaskanaal te voorkomen. Hierdoor is de luchtstroom minder en de fluorwasser ""uit bedrijf"". Er blijft wel water op de fluorwasser staan om geen ongewassen rookgas naar buiten te laten gaan. SO2 wordt dan nog steeds continu gemeten, alleen doet de meting niet mee voor het gemiddelde. Het betrof een kortstondige storing en na 20 minuten is de fluorwasser weer in bedrijf genomen. Melding afgesloten.";08:47:00;16:32:00;527;992;7,75000000000000;TRUE;FALSE;2,9833333333333334;-4,7666666666666666;3;-5;FALSE;TRUE
655;2024-12-22T07:29:00Z;2024-12-22;08:29:00;2024;12;Dec;Winter;509;8;29;Tata Steel IJmuiden B.V. (KGF1) Kooksgasfabriek 1;Kooksgasfabriek 1;Roet;1 m3;Melk Nr. 325830 STOFEMISSIE (O.A. EMISSIE SCHOORSTEEN) Melding afgesloten 05-02-2025 11:39 Waarneming De klimpijp verzorgt de uitgevoerd, oorzaak bekend (t.k.a.) afvoer van het kooksovengas uit de kooksoven naar de gasverzamelleiding. De klimpijp wordt afgesloten door een klimpijpdeksel met een waterslot. Uit de klimpijp is roet emissie vrijgekomen bij oven 604 Oorzaak Feiten worden verzameld om deze milieumelding aan te vullen. Update 05-02 : Onderzoek naar de basis oorzaak van dit type emissie is opgestart. Directe oorzaak is vervuiling van de ovendeur / planeerluik in de deur aan machine zijde. Maatregel Wordt verder onderzocht. Update 05-02 : Ovendeur is de opvolgende behandelingen geïnspecteerd op mogelijke gebreken, deze zijn niet vastgesteld. Verdere maatregelen worden meegenomen op basis van uitkomsten onderzoek. Doorgegeven aan: om: 08.53;08:46:00;16:31:00;526;991;7,75000000000000;FALSE;TRUE;-0,2833333333333333;-8,0333333333333332;0;-8;FALSE;FALSE
656;2024-12-22T11:53:00Z;2024-12-22;12:53:00;2024;12;Dec;Winter;773;12;53;Tata Steel IJmuiden B.V. (OX2) Oxystaalfabriek 2;Oxystaalfabriek 2;Rook;12 kg;Melknr. 325831 - ONGEWOON VOORVAL MET MOGELIJKE MILIEUGEVOLGEN Melding nog in behandeling Waarneming Tijdens tappen con 23 witte rookwolk uit de fabriek. Oorzaak Onderzoek loopt Maatregel Onderzoek loopt. AANVULLING 12-06-2025 08:17 UUR Oorzaak: Geen aanwijsbare oorzaak gevonden Maatregel: Toekomst: onderzoek naar verbetermogelijkheden in de regeling van de secundaire afzuiging voor de verdeling van het beschikbare afzuigdebiet Melding afgesloten 12-06-2025 08:17 UUR;08:46:00;16:31:00;526;991;7,75000000000000;TRUE;FALSE;4,1166666666666663;-3,6333333333333333;4;-4;FALSE;FALSE
657;2024-12-22T14:19:00Z;2024-12-22;15:19:00;2024;12;Dec;Winter;919;15;19;Tata Steel IJmuiden B.V. (TSP) Packaging;Packaging;Oliehoudend water;200 l;Melk Nr. 325833 BODEMVERONTREINIGING > 50 L C.Q. KG Melding afgesloten 06-01-2025 13:51 Waarneming Lekkage oliehoudend uitgevoerd, oorzaak bekend (t.k.a.) afvalwater H2Ba door niet juist afgemonteerde leiding. Update 23-12 : Aanvullin 23-12-2024: Lekkage heeft plaatsgevonden naar de betonnen goot van de H2BA. Via deze weg kan en geen vloeistof in de bodem of oppervlake water terecht komen. De vloeistof blijft in de fabriek. Oorzaak Mist een stuk leidingdeel Maatregel Oliehoudend afvalwaterpomp put H2Ba uitgeschakeld en op slot gezet. Tevens Sap melding gemaakt om het te oplossen. Update 23-12 : Aanvulling 23-12-2024: Oude afvoer is weer in gebruik genomen, vloeistof komt nu weer in de oliehoudend afvalwater stroom terecht, waar het terecht hoort te komen. Update 06-01- 2025 : 6-1-2025 Op verzoek en na akkoord melding op ongeldig gezet omdat er geen emissie heeft plaatsgevonden. Update 06-01-2025 : Reden herroepen melding De vloeistof, oliehoudend afvalwater, is via goten door de kelders gelopen. Deze kelders vallen onder het maatwerkbesluit en zijn dus gelijkwaardig aan vloeistofdicht. Er heeft derhalve geen emissie plaatsgevonden. Update 06-01-2025 : Vrijgekomen stof en hoeveelheid aangepast. NVD Rapportage ontbreekt, uit 24 uur rapport NVD blijkt dat zij niet gebeld zijn over dit voorval;08:46:00;16:31:00;526;991;7,75000000000000;TRUE;FALSE;6,5499999999999998;-1,2000000000000000;7;-1;FALSE;FALSE
658;2024-12-22T17:00:00Z;2024-12-22;18:00:00;2024;12;Dec;Winter;1080;18;0;Tata Steel IJmuiden B.V. (GSL) Grondstoffenlogistiek;Grondstoffenlogistiek;Pelletstof;0 kg;Melk Nr. 325832 MILIEU INSTALLATIE UIT BEDRIJF (OVERIGE) Melding afgesloten 09-01-2025 22:32 Waarneming Aquaco container ten uitgevoerd, oorzaak bekend (t.k.a.) behoeve van de autoverlading Pelletfabriek uit bedrijf Oorzaak Lage buitentemperatuur waardoor deze automatisch is uitgeschakeld Maatregel Eigen systeem van de pelletfabriek ingeschakeld, hierdoor geen overlast Update 23-12 : Buitentemp weer gestegen, installatie in bedrijf. Aanvulling 10-01 : Update: systeem op 23-12 weer in bedrijf genomen Doorgegeven aan: om: 18:15;08:46:00;16:31:00;526;991;7,75000000000000;FALSE;TRUE;9,2333333333333325;1,4833333333333334;9;1;FALSE;TRUE
659;2024-12-22T18:32:00Z;2024-12-22;19:32:00;2024;12;Dec;Winter;1172;19;32;Tata Steel IJmuiden B.V. (KGF2) Kooksgasfabriek 2;Kooksgasfabriek 2;Kooksovengas;5 m3;Melk Nr. 325836 RUWGAS FAKKELEN ( M.U.V. TESTEN OF GASZUIGER WISSELEN) Melding afgesloten 09-01-2025 12:08 Waarneming uitgevoerd, oorzaak bekend (t.k.a.) Tijdens het wisselen van gaszuiger is er kooksovengas vrijgekomen uit een aantal klimpijpen. Dit geconstateerd na het terugkijken van de camerabeelden, het voorval vond plaats van op 22-12-2024 van 19:00 uur tot 19:01 uur. Oorzaak Wordt verder onderzocht. Update 09-01- 2025 : Directe oorzaak: Bij gaszuiger wissel had gaszuiger 23 te weinig afzuiging teruggegaan naar gaszuiger 22 bedrijf. Basis oorzaak: Niet goed werkende persdrukmeting van gaszuiger 23 Maatregel Feiten worden verzameld om deze melding verder aan te vullen. Update 09-01- 2025 : Eerste maatregel: Terug gegaan naar gaszuiger 22 bedrijf. Tweede maatregel: meetleiding persdrukmeting schoongemaakt en probleemloos gewisseld van gaszuiger 22 naar gaszuiger 23. NVD Rapportage ontbreekt, uit 24 uur rapport NVD blijkt dat zij niet gebeld zijn over dit voorval;08:46:00;16:31:00;526;991;7,75000000000000;FALSE;TRUE;10,7666666666666675;3,0166666666666666;11;3;FALSE;TRUE
660;2024-12-21T07:32:00Z;2024-12-21;08:32:00;2024;12;Dec;Winter;512;8;32;Tata Steel IJmuiden B.V. (KGF1) Kooksgasfabriek 1;Kooksgasfabriek 1;Kooksstof;3 kg (was 5 kg);Melknr. 325827 STOFEMISSIE (O.A. EMISSIE SCHOORSTEEN) Melding afgesloten 05-02-2025 11:42 Waarneming Tijdens het uitstoten was er uitgevoerd, oorzaak bekend (t.k.a.) zichtbare emissie bij oven 602 update 21-12: Tijdens het uitnemen van de machinezijde deur is er zichtbare emissie ontstaan bij oven 602. Oorzaak Feiten worden verzameld om deze milieumelding aan te vullen. Update 05-02 : Onderzoek naar de basis oorzaak van dit type emissie is opgestart. Directe oorzaak is vervuiling van de ovendeur / planeerluik in de deur aan machine zijde. Maatregel Wordt verder onderzocht. Update 05-02 : Ovendeur is de opvolgende behandelingen geïnspecteerd op mogelijke gebreken, deze zijn niet vastgesteld. Verdere maatregelen worden meegenomen op basis van uitkomsten onderzoek. Update 05-02 : Hoeveelheid aangepast van 5 kg naar 3 kg;08:46:00;16:31:00;526;991;7,75000000000000;FALSE;TRUE;-0,2333333333333333;-7,9833333333333334;0;-8;FALSE;FALSE
661;2024-12-21T18:42:00Z;2024-12-21;19:42:00;2024;12;Dec;Winter;1182;19;42;Tata Steel IJmuiden B.V. (HOO) Hoogovens;Hoogovens;IJzeroxide;2 kg;"Melk Nr. 325829 ROOKEMISSIE OVENHUIS (ONDOORZICHTIGE WOLK; BOVEN UITHOUDERKRAAN) Melding afgesloten 21-12-2024 19:53 uitgevoerd, oorzaak bekend (t.k.a.) Waarneming Rookemissie uit het ovenhuis als onderdeel van reguliere bedrijfsvoering. Oorzaak Tijdens het dichtmaken van de tapkant moet de gootafdekking (manipulatorkap) verwijderd worden om ruimte te maken voor de stopmachine, waarbij emissie kan vrijkomen. Maatregel Het tapgat is zo snel mogelijk afgedicht en de rookemissie is maximaal afgezogen via de ovenhuisontstoffing. Doorgegeven aan: om: 20:05";08:46:00;16:31:00;526;991;7,75000000000000;FALSE;TRUE;10,9333333333333336;3,1833333333333331;11;3;FALSE;TRUE
662;2024-12-21T08:14:00Z;2024-12-21;09:14:00;2024;12;Dec;Winter;554;9;14;Tata Steel IJmuiden B.V. (KGF2) Kooksgasfabriek 2;Kooksgasfabriek 2;Kooksovengas;4 m3;Melknr: 325828 GASONTSNAPPING (STORING TIJDENS VULPROCES OVENS, KLIMPIJP) Melding afgesloten 09-01-2025 12:06 Waarneming uitgevoerd, oorzaak bekend (t.k.a.) De klimpijp verzorgt de afvoer van het kooksovengas uit de kooksoven naar de gasverzamelleiding. De klimpijp wordt afgesloten door een klimpijpdeksel met een waterslot. Uit de klimpijp is kooksovengas emissie vrijgekomen bij oven 105. Oorzaak Directe oorzaak: Klimpijpdeksel losgekomen uit het waterslot. Basisoorzaak: Het waterslot van de klimpijp was nog niet volledig opgevuld nadat de klimpijp een onderhoudsbeurt had gekregen. Maatregel Voor de zekerheid zijn de volgende drukkingen gevolgd, afstellingen gecontroleerd, geen afwijkingen gevonden, volgende behandelingen geen problemen gehad met de klimpijpdeksel.;08:46:00;16:31:00;526;991;7,75000000000000;TRUE;FALSE;0,4666666666666667;-7,2833333333333332;0;-7;TRUE;TRUE
663;2024-12-20T08:41:00Z;2024-12-20;09:41:00;2024;12;Dec;Winter;581;9;41;Tata Steel IJmuiden B.V. (Pefa) Pelletfabriek;Pelletfabriek;Bentoniet;10 kg;Melknr. 325821 ONGEWOON VOORVAL MET MOGELIJKE MILIEUGEVOLGEN Melding afgesloten 20-01-2025 11:10 Waarneming uitgevoerd, oorzaak bekend (t.k.a.) Bentoniet gemorst tijdens lossen. Oorzaak Vulslang nog niet geheel leeg. Maatregel Direct veegwagen geregeld om het op te laten ruimen. Update 20-12 11:10 uur: Is schoon gemaakt. Update 20-01-2025 : RvO: 10-1, navraag doen bij productie en vervoerder. RvO 20-1: iets te kort nageblazen waardoor een klein beetje restmateriaal, chauffeurs weten hoe het werkt. Melding afgesloten;08:45:00;16:30:00;525;990;7,75000000000000;TRUE;FALSE;0,9333333333333333;-6,8166666666666664;1;-7;FALSE;FALSE
664;2024-12-20T12:10:00Z;2024-12-20;13:10:00;2024;12;Dec;Winter;790;13;10;Tata Steel IJmuiden B.V. (HOO) Hoogovens;Hoogovens;IJzeroxide;2 kg;"Melknr.: 325822 ROOKEMISSIE OVENHUIS (ONDOORZICHTIGE WOLK; BOVEN UITHOUDERKRAAN) Melding afgesloten 20-12-2024 13:13 uitgevoerd, oorzaak bekend (t.k.a.) Waarneming Rookemissie uit het ovenhuis als onderdeel van reguliere bedrijfsvoering. Oorzaak Tijdens dichtmaken van de tapkant moet de gootafdekking (manipulatorkap) verwijderd worden om ruimte te maken voor de stopmachine, waarbij emissie kan vrijkomen. Maatregel Het tapgat is zo snel mogelijk afgedicht en de rookemissie is maximaal afgezogen via de ovenhuisontstoffing.";08:45:00;16:30:00;525;990;7,75000000000000;TRUE;FALSE;4,4166666666666670;-3,3333333333333335;4;-3;FALSE;TRUE
665;2024-12-19T09:30:00Z;2024-12-19;10:30:00;2024;12;Dec;Winter;630;10;30;Tata Steel IJmuiden B.V. Hisarna;Hisarna;NOx;450 mg/Nm3;Melknummer : 325812 STOFEMISSIE ROOKEMISSIE Melding nog in behandeling Waarneming Tijdens geplande simulatie run branders uitgevoerd, oorzaak bekend (t.k.a.) gestart en hierbij vergunde 30min gemiddelde overschreden Oorzaak inregelen van brander Aanvulling 19-12:Momenteel zit HIsarna in de commissioningfase, waarbij alle installaties en veiligheidssystemen getest worden als voorbereiding op de komende productie run. Hierbij moeten ook de branders in het productie vat enkele malen gestart worden. In deze fase kan niet over de actief kool deNOx boxen gedraaid worden omdat de de fabriek koud is en daardoor de kans op condensvorming in de milieuinstallaties zeer groot is. Maatregel Monitoren van nox waarden en brander uitzetten. Aanvulling 19-12:De branders worden slechts enkele malen gedurende korte periodes gestart waardoor ver onder de dag-gemiddelde emissiegrenswaarde wordt gebleven. Melding afgesloten 20-12-2024 11:19;08:45:00;16:30:00;525;990;7,75000000000000;TRUE;FALSE;1,7500000000000000;-6,0000000000000000;2;-6;FALSE;TRUE
666;2024-12-19T11:10:00Z;2024-12-19;12:10:00;2024;12;Dec;Winter;730;12;10;Tata Steel IJmuiden B.V. (GSL) Grondstoffenlogistiek;Grondstoffenlogistiek;Pelletstof;1 kg;Melknr. 325813 ONGEWOON VOORVAL MET MOGELIJKE MILIEUGEVOLGEN Melding afgesloten 10-02-2025 08:31 Waarneming uitgevoerd, oorzaak bekend (t.k.a.) Stofemissie boven het bunkergebouw HO6 Oorzaak Tijdens opstarten van de pelletlijn stond de waterregeling verkeerd ingesteld. Maatregel Direct stilgezet en de watertoevoer verhoogd. Hierna was de pluim weg;08:45:00;16:30:00;525;990;7,75000000000000;TRUE;FALSE;3,4166666666666665;-4,3333333333333330;3;-4;FALSE;FALSE
